,序号,类型,节目名,表演者
32,33,歌曲,《最后一个梦》、《五十六个民族同唱一支歌》,蒋大为
33,34,谜语,“春节三日不离厂”（打一字）、“慢等除夕钟声来”（猜一人名）,
34,35,小品,《羊肉串》,陈佩斯、朱时茂
35,36,相声,《唱歌的姿势》,姜昆、唐杰忠
36,37,,零点钟声,
37,38,,明年除夕再见,
,序号,类型,节目名,表演者
0,1,开场歌舞,①《祝岁歌》②腰鼓演出③舞蹈演出,叶矛、廖莎延安地区群众艺术馆空军蓝天幼儿艺术团
1,2,相声,《巧对影联》,刘伟、冯巩
2,3,戏曲小品,《孙二娘开店》,游本昌、董元元、张寄蝶、孙绍东、朱世慧、莫元季、刘丰
3,4,歌曲,《小小的我》,苏红
4,5,西藏民歌,《酒歌》,胡松华
5,6,动物小品,《家庭宴会》（录像）,王明玉、李扬（配音）
6,7,小品,《恩爱夫妻》,王馥荔、陈裕德
7,8,演奏,《除夕圆舞曲》,刘旭峰
8,9,歌曲,《送给你明天的太阳》、《我们见面又分手》,叶丽仪
9,10,相声,《学播音》,笑林、李国盛
10,11,歌曲,《我爱五指山，我爱万泉河》,李双江
11,12,歌曲,《血染的风采》,王虹、徐良
12,13,双簧京剧清唱,《汉宫惊魂》选段——《金钟响》,李光、葛存壮
13,14,相声,《虎口遐想》,姜昆、唐杰忠
14,15,,十佳运动员颁奖仪式,宋世雄（主持）
15,16,体育表演,《鞍马开花》,李宁等
16,17,小魔术,《变兔》,冯京
17,18,歌曲,《春天在哪里》,殷秀梅
18,19,相声小品,《拔牙》,赵连甲、王刚
19,20,录像,中学生服装表演,
20,21,小品,《产房门前》,郭达、杨蕾、高兰村、邹小茜
21,22,歌曲,《繁星从你眼前升起》,王静
22,23,歌曲,《你会爱上它》,彭丽媛
23,24,小串场,《音乐欣赏》,笑林、刘亚津
24,25,歌曲,《三峡人家》,蒋大为
25,26,相声,《打岔》,侯耀文、石富宽
26,27,,猜猜看,
27,28,录像,抻面表演,北京饭店王造柱等
28,29,歌曲,《我是春风我是爱》,郁钧剑
29,30,小串场,《卖鱼》,刘亚津
30,31,歌曲,《故乡的云》《冬天里的一把火》连唱,费翔
31,32,歌曲,《日月与星辰》,董文华
32,33,相声,《五官争功》,马季、赵炎、王金宝、冯巩、刘伟
33,34,民族团结大联唱,,左纯、苏红、格桑曲珍（藏族）、克里木（维族）、赵琼霞（纳西族）、 赵玉衡（朝鲜族）、拉苏荣、金花（蒙古族）、马太萱（回族）、杜萍、张也、侯耀文（满族）、张德富、卢秀梅、安冬、曲比阿乌（彝族）
34,35,歌曲,《春天的钟》,胡晓晴
35,36,,零点钟声,
36,37,,尾声,
,序号,类型,节目名,表演者
0,1,序幕,北京中央电视台彩色电视中心,春节联欢晚会主会场
